V1,Control.F.6-Protandim.M.6_logFC,Control.F.6-Protandim.M.6_logCPM,Control.F.6-Protandim.M.6_LR,Control.F.6-Protandim.M.6_PValue,Control.F.6-Protandim.M.6_FDR
Sult5a1,-1.63431949817364,4.09101042023343,6.37168594537049,0.011595537988267,0.123068904388449
Il12rb1,-2.47144869658693,0.813555984873979,25.7716795612141,3.8428603842415e-07,2.92533171916593e-05
C1ql4,-2.79040314234277,-1.00658156952152,25.3956456421434,4.66970973417376e-07,3.53791373509487e-05
Col1a1,-1.62938395189462,2.39838835369534,7.45285034478515,0.0063336072743557,0.0845150633454521
Ccne1,-1.81636749771835,0.117381393625834,5.94634292186404,0.0147478510628986,0.143057734885617
Rec8,-2.73206691551209,-0.684247713186742,10.0847129708945,0.0014950444900016,0.0302528876166657
Cd36,3.63142527382052,6.02565798519947,33.6584553249373,6.56887255678385e-09,7.55467602106091e-07
Hmgn2,1.76962231856707,2.38403752570077,16.0216735878338,6.26214969868937e-05,0.0024840378432567
Fkbp11,-1.54193723893518,2.67283994712075,21.9921156219383,2.73772799625562e-06,0.0001651521499929
Col5a3,-1.93531073264662,4.91356225227188,28.0332243102567,1.19250386581303e-07,1.03605254341777e-05
Mthfd2,-1.58890432875127,0.606689349130227,12.8281003041157,0.0003414522562668,0.0098173664904357
Cbfa2t3,1.57499982842075,2.4719219211425,20.2461980196253,6.80886414376881e-06,0.0003766314955096
Ihh,-2.28035409014333,0.827502412772809,13.3799137812375,0.0002543334204159,0.0078018606869675
Krt23,3.57644371153526,3.39521827207173,26.8623849441988,2.18469809181357e-07,1.80956392205864e-05
Id3,1.56082122305666,5.7148688114276,12.5853783012306,0.0003887763333493,0.0108463847555365
Rps18,3.02430778631162,5.73535066745269,7.06100566420888,0.0078779761569458,0.0960885721322241
Bmp7,-1.6114710781864,0.680161181293919,8.44106729708164,0.0036684088515164,0.0578335146946176
Derl3,-1.98136587495437,2.13717836655579,5.59496461367424,0.0180121749407098,0.161765521686621
Gnat2,-1.70934491520999,-0.518857355201614,11.0643359523116,0.0008800410168687,0.0206887289642118
Mogat1,2.12888407477946,0.106496150395278,6.33587363490419,0.0118319821721613,0.124418798094177
Kif1a,2.17959848309109,-1.17738159261325,5.64022529054633,0.0175529514425974,0.158981009496523
Galns,-1.94214211843175,2.67300360147518,35.2405575330416,2.9139148410850703e-09,3.58321866535277e-07
Ptgds,2.52112054613058,1.8599265419339,18.2430271282509,1.94436429395727e-05,0.0009278390329313
Gadd45b,1.9571261222818,2.7416627267814,12.4696133124488,0.0004136257088843,0.0114200700901997
C4a,-3.85034388123372,7.8646761268036,34.7550512393613,3.739072993683711e-09,4.49419705842314e-07
Steap2,1.76453942844669,2.86326367242054,18.2642972568813,1.92277317826221e-05,0.0009216550084573
Sertad4,-2.2019793368447,-1.08829412906402,7.8473675117754,0.0050894762891604,0.0730344416144695
Gdf9,-1.69390811639524,-1.05608706112517,8.90001456173196,0.0028516838183605,0.0480875712239574
6330403K07Rik,-3.0722253075424,-1.52413878576147,4.23231335377875,0.0396613479022296,0.258052132384528
Cyb561,-2.50592773791755,1.68619960973328,10.495825041463,0.0011964457827861,0.0258207242724145
Dcbld1,1.53945590576167,1.62026625819475,50.1310668801764,1.4381202740208099e-12,3.1930264861801e-10
Cdk1,-1.98899063298836,-0.663436345165829,8.20064251943409,0.0041875557595288,0.063131788526184
Moxd1,-14.0006492857383,2.58265298350066,36.0899957578354,1.8841165555713402e-09,2.46881043093143e-07
Mypn,-3.99317484373844,-1.5248407030817,9.59234997432635,0.0019538971582125,0.0366607980882466
Ddit4,-1.99974864020753,2.86061109025838,11.2056244891131,0.0008154977795851,0.0196333546753746
Egfr,-2.38286566606411,7.69994764791278,26.7417855670785,2.32538152309667e-07,1.9063358476012e-05
E2f7,-2.96814118583976,-0.673658836179787,20.5029494623205,5.95394346628537e-06,0.0003339640008843
Hcn2,-1.97699060514872,-0.725757986655769,22.2460696995282,2.39849230308203e-06,0.0001486135579731
Adcy1,3.12335043560659,0.379068789863341,12.9540033187257,0.000319238100533,0.0093126647356231
Rtn4,2.5815262462988,6.169624464257,84.0150243099415,4.9102893981695105e-20,2.61652954397126e-17
Grhl1,1.63841886102078,-0.438471277071371,10.5852437181443,0.0011399386798559,0.0248948903499692
Rasl10b,-2.25214192076875,-0.923842793545438,20.598851304934,5.66300829678802e-06,0.0003198899315634
Plek2,1.57703223917609,-0.412138147238412,9.3585171056933,0.0022195164556753,0.0403195341595749
Unc79,2.39803513289346,1.18909729456452,18.9206645343927,1.36268573296392e-05,0.0006786259852698
Acot2,1.84486154319577,5.5952339636214,23.5995294954299,1.18616516108538e-06,7.9008484437962e-05
Acot3,1.66048542917549,5.25521428588413,4.85241159306443,0.0276075077128499,0.209939973821398
Fos,3.13690765623236,0.678766711170427,12.8564166751117,0.000336323994141,0.0097399916129326
Meg3,-4.16251193388545,2.74494259474168,29.6187618033895,5.25934027792237e-08,4.94563609899218e-06
Carmil1,-2.73899501051219,2.70037312317726,55.8590935703086,7.78557823400153e-14,2.1458664422198e-11
Eci3,3.97294238193061,1.60063118837468,18.2614595127145,1.92563976494901e-05,0.0009216550084573
Srd5a1,-1.60782074163825,5.23084235374534,38.7718637993778,4.76344710630162e-10,7.0507838371609e-08
Hexb,2.07790030294255,2.77263364956285,32.7684730502821,1.03815002374048e-08,1.14454250203554e-06
Sftpa1,-1.59704927629861,-0.0262033945474759,10.1858667330453,0.0014152118364241,0.0291478394994752
Amer2,2.67088857559592,0.183291013931386,13.270134904716,0.0002696677993917,0.008118473523685
Scara5,-5.78982096531154,2.07792398142309,33.8847215349357,5.84761117533654e-09,6.77390668470506e-07
C9,-2.1417765209922,7.86552780536324,68.8044433654447,1.08727443901908e-16,3.86248204047977e-14
C6,-4.85702916802416,6.00900751314412,148.630078290999,3.4546248576713698e-34,6.90320412184182e-31
Angpt1,2.08092940605217,-0.582954246302433,11.4285615338306,0.0007232365679925,0.0178973061546884
Sybu,4.59526303252728,0.705910068791325,63.6535056829099,1.4834476174671902e-15,4.94049866933967e-13
A1bg,7.69306233251042,7.68721088893128,40.4519516236691,2.01511065897436e-10,3.1894612865707e-08
Bcl6,-2.022165493844,4.81497118427278,5.78271924330699,0.0161844839577012,0.151287044619548
Arsa,-1.65825044025302,5.54033161870263,69.6816919356249,6.96899635587056e-17,2.5319630851124302e-14
Ncam2,-2.16161433968405,0.716088201332486,19.3164560431225,1.10747750230138e-05,0.0005650453699859
Aifm3,-1.59620418575745,3.07074263720381,48.8883582897665,2.70954223811605e-12,5.69930818664779e-10
Nr4a1,2.07323189136002,2.55698572566599,5.48232870109223,0.0192096514639726,0.168081821731289
Csad,-1.54777861837934,7.457882991502,7.16969536986046,0.0074145364664245,0.0926865529193068
Cd4,-2.24893166634642,0.319386709012466,16.3506472803935,5.26381815163951e-05,0.0021576255633874
Slc25a27,2.45649126983342,-0.099949684495864,27.9296251766759,1.258087322862e-07,1.08712345639308e-05
Crisp2,2.33664215551276,-1.87773085019151,5.24192699537279,0.0220488382910965,0.182090597116022
Cyp39a1,5.25877640999584,4.30435013247077,53.466803234638,2.62999684010662e-13,6.46817376706838e-11
Tff3,-4.49089699752165,0.284098547095563,10.5064100451215,0.0011896114639746,0.0257688742043616
Grm8,-3.34633295291356,0.541311698619078,39.7617447049936,2.86910098651568e-10,4.36813794004188e-08
Cyp21a1,-6.36341281306204,2.64825704779264,11.8537141324821,0.0005754645727331,0.0148477578463237
Epb41l4a,1.90710376728314,-0.975653866572357,9.24729012853915,0.0023584416534667,0.042031268976944
Lama3,-3.68530470011261,2.08268162683805,73.9146026937082,8.15706424053899e-18,3.25997072373141e-15
Ttc39c,-2.47857068878208,7.52193103093625,111.629458259984,4.3073958927201897e-26,4.0504723965308804e-23
Slc4a9,2.91196384865566,1.36142148286057,16.3174326968352,5.35688735812928e-05,0.0021804810356572
Setbp1,2.79704044118414,0.469981119546285,25.9981806791905,3.41739249266325e-07,2.69115450185786e-05
Keg1,-2.64210425791163,6.2098581843545,58.2484175201316,2.3102273771632702e-14,6.594874080595009e-12
Gna14,-1.53648453410073,2.29360580816545,16.779154403889,4.19920742917518e-05,0.0017900941323411
Trpm6,5.64228824141424,-0.0456694460371696,32.2720202108899,1.34029501428799e-08,1.44769973637891e-06
Stambpl1,2.03996937798687,-0.0307252526364462,23.9691610368021,9.7891175628506e-07,6.68755698118503e-05
Vldlr,6.2684065847429,3.59837374748156,72.5026542967098,1.6680744947411302e-17,6.503863139739461e-15
Pde6c,1.52785413885601,0.299955749341368,5.17900008034979,0.0228614766419666,0.185797440568621
Cyp2c39,4.72806556001961,7.74616676028829,40.4299303072359,2.0379511939331501e-10,3.19398899864856e-08
Cyp2c40,4.58756649083684,6.49976074662604,109.457263110223,1.2885288856133202e-25,1.0299211382707299e-22
Dntt,1.72447730546074,1.2917721769298,12.3612667122048,0.0004383331884649,0.0119986204637001
Cbr2,-3.56937652970192,-2.57614644244601,4.90713197078029,0.0267460157657462,0.205558561553471
Cyp2c23,-2.1270534413728,6.63010480238191,5.75712517581748,0.0164219196295057,0.152806057739976
Pitx3,-8.03892970272028,0.830074813068952,44.2724316324078,2.8571162679472796e-11,4.96455007167448e-09
Alas2,-3.40848803224716,6.21566339735296,80.7588464402348,2.5501384792676603e-19,1.23534890089615e-16
Arhgef9,1.93199275439494,1.41574585684854,16.5897941135928,4.6400043527433e-05,0.0019468532698938
Nrp2,1.80873331665802,4.64575262015107,36.6522275631316,1.41197578597927e-09,1.89679369030795e-07
Serpine2,-3.35815764559312,3.11415872365107,33.3229989227782,7.8054051795521e-09,8.78712726762816e-07
Serpinb8,1.56149084423777,2.41714965223221,11.3111835099048,0.0007704165043008,0.0187742046307218
Rgs16,2.05356544322651,6.11508222926783,5.85443603675672,0.015537836225791,0.147674108148332
Prrx1,-2.19823346913087,-1.17048231470617,5.6674050031523,0.0172830043829188,0.157618840458106
Nek2,-1.63628673288954,1.36698777819981,21.7482959740473,3.10865859559425e-06,0.0001861236565886
Atf3,2.03566897243974,0.993037191703775,13.5439945882891,0.0002330358784226,0.0072618158917446
Lamb3,1.50116320969606,3.83386306476296,12.8302345219418,0.0003410630038754,0.0098173664904357
Fmo3,8.00521508426848,6.98498922695574,30.9156165424552,2.6949448542768e-08,2.70952128556409e-06
Pfkfb3,-2.36884361521425,3.54531525854185,14.9444441136573,0.000110723626316,0.0039992002235861
Il1rn,1.67781526214324,2.31966290100482,12.052560046121,0.0005172130092702,0.013666392010239
Lrp2,-2.7186869519837,1.32779658785861,6.55085510626722,0.0104833763892809,0.115022137926592
Knstrn,-1.87294273040966,-0.42521853191621,9.47041225231848,0.0020881244143339,0.0386799036935606
Adra1d,-5.60686265812896,-0.318321450317804,7.31211636853891,0.0068491215486776,0.0883696990130438
Usp50,2.24199834802944,0.393292989261718,19.9463800561702,7.96446038882543e-06,0.0004286864100194
Prom2,4.40522572164804,-0.0830065426734765,10.7250121979263,0.0010569697231952,0.0235987681494401
E2f1,-1.6914124481805,1.43632697781814,20.1235990556981,7.25953947456176e-06,0.000393393213696
Car1,-1.55417872964344,2.66964488950735,23.5697367072114,1.20467373782123e-06,7.92720108446743e-05
Car2,2.45807498711309,2.42973508497159,34.7570151733818,3.735302960622891e-09,4.49419705842314e-07
Hao2,9.07770676705109,4.9136740790111,54.0738433858224,1.93094687381991e-13,5.06034700407951e-11
Lrrc39,1.62304496393975,-0.441051968981164,8.26671996072258,0.0040378389655839,0.0617692762716022
Cyp2u1,-2.05527843651305,4.64929743508905,20.2302207143118,6.86596695762059e-06,0.0003784805096018
Ptgfr,2.75442355240809,-1.10730759673959,8.68185007105345,0.0032139456675095,0.0525338808188217
Ddah1,2.05494818764604,6.98467432501739,37.6695873318193,8.38009549890654e-10,1.17512461969754e-07
Atp6v0d2,2.86200887028719,2.74623078736544,25.2889133056855,4.93537392482735e-07,3.70407922827653e-05
Cyp4a14,2.50043867994456,10.6273762730769,6.96462685741854,0.008313676846406,0.100152553177579
Slc30a2,-2.68667948499119,-1.58824154206996,4.09420608986821,0.0430304342713686,0.268076587007833
Extl1,-1.60406893820729,4.06644530205775,18.0709839063258,2.12820078780119e-05,0.0009976868736348
Sult1e1,3.15245611653866,3.351412741875,9.40034639180412,0.0021694445175461,0.0397259336282844
C8b,-2.29779240733936,7.3442983609693,84.3156606750013,4.21761088982926e-20,2.36474680085374e-17
Gngt1,1.87535020728442,-1.2432664056221,4.4779583172053,0.0343347141473995,0.239056942665648
Asns,-4.25681809334202,1.89119740713209,23.3703806580546,1.33620227315053e-06,8.68314208885546e-05
Abcg2,-1.5507263852391,5.45876694810569,79.2991921144732,5.33815318585682e-19,2.43816333797449e-16
Nat8,-4.18042006850469,3.7690363707075,76.6818644034444,2.0083926047688e-18,8.44899057364052e-16
Lag3,-1.53177845123389,0.360382533424221,10.9786508458235,0.0009216750383931,0.0214467207623769
Erp27,-2.70257247322363,0.0604478742273256,16.994072447315,3.74966982253251e-05,0.0016200600481893
Slco1a4,2.58778967330652,6.52133832083357,34.9739082487176,3.3415310317550804e-09,4.07768817356005e-07
Caprin2,1.78850605711578,0.343797470145875,15.3990350631377,8.70327255651451e-05,0.0032878493949641
Clec2h,-3.97589282924778,0.727343073187624,6.66186534622229,0.0098497758431567,0.110886279315988
Cyp2b10,4.08675402315793,5.15996957138882,37.5754621040554,8.79438792349977e-10,1.22249639430493e-07
Entrep2,2.59587602619716,-1.14896943030084,9.76926353553927,0.0017745352146658,0.0341779758333108
Nox4,-2.3518832329958,4.46179290268511,67.2269688068037,2.41981208054617e-16,8.40937302600241e-14
2200002D01Rik,-2.0125310859914,2.76295778282812,30.5682184896714,3.22330793769552e-08,3.18072843777782e-06
Tmc5,-2.38115355279896,-0.349382915494058,5.59088140531879,0.0180542093061871,0.161966433912109
Acsm2,-2.65114316008177,2.3187871917808,9.94870324347372,0.0016096274115371,0.0319249426809339
Mki67,-1.5468596474297,0.15834250791662,6.57196133986488,0.0103597721532713,0.114214701822204
Serpina7,3.46536398087925,5.46716550008316,39.6335825063469,3.06369416285571e-10,4.57721634461789e-08
Col4a5,2.45905841383259,0.709546263220125,18.7305404704762,1.50551833177136e-05,0.0007451150480401
Morc4,2.24649738988077,1.20576128930833,44.1011353184327,3.11840020807993e-11,5.36029523939417e-09
Dkk4,-6.68312631648999,-1.5844769363315,24.5246558526894,7.33650012540814e-07,5.25506534687506e-05
Fgfr1,-1.79006798489971,2.67294824212787,21.6734548145284,3.23233391759978e-06,0.0001928063059953
Nudt7,-2.25771035799414,8.01312967039509,58.5746376933555,1.9572330196703e-14,5.68878673680898e-12
Pbx4,-3.68795445715868,-1.92864558413363,4.64434051774826,0.0311561061562773,0.225980722783235
Ces2d-ps,-1.86303881726752,2.60743515226635,7.53010583349366,0.0060676343017498,0.0823405789030332
Bmper,2.51781546778083,0.106601083681625,28.849619367698,7.82212711819924e-08,7.06466237918266e-06
Tmprss4,2.17931328035489,-0.837364534925948,9.09100680528479,0.0025686942849504,0.0447310967747469
Treh,-2.19923782092221,0.0829738951074215,16.8981638383991,3.94397156760919e-05,0.0016903037394048
Olfm2,-2.44423574035663,-0.0618266474993914,19.6481939283431,9.30912594996984e-06,0.0004911408826277
Fam81a,-1.91398663809752,0.493163702209198,13.9818298177607,0.0001845858826921,0.0060333426416882
Nt5e,2.5105835138297,5.16824305991305,35.4787164569252,2.57852716424417e-09,3.19537482539592e-07
Cspg5,-5.76548860171652,1.32823424975708,70.786313336686,3.98089225453491e-17,1.47996612979058e-14
Cyp2c38,3.05187973280542,6.66430296942563,44.6278823282353,2.3827412259102597e-11,4.18576936674742e-09
Abcc4,2.45164851720246,2.32792618271869,38.2826538548762,6.12042826696083e-10,8.81451948429151e-08
BC016579,-3.66689318539537,-2.7645269279397,5.36877936346438,0.0205003187689025,0.174410907844426
Igf2bp2,1.61663084276295,0.201734149620838,10.0058676577661,0.0015604225732191,0.0311811440693525
Gabrb3,-2.19088490083411,0.0345394110010634,19.3093436606769,1.11161043905914e-05,0.0005650453699859
Adra2a,4.79262522246585,-1.39195979449705,14.14941424951,0.0001688496676033,0.0056117064164398
Rnf225,2.238753001014,0.0661476041774259,11.0076164556928,0.0009073825473917,0.021206750588602
Dnah17,4.91816499940975,3.48021979802796,11.2010837358382,0.0008174957387895,0.0196489852857513
Kcnk1,-5.7800112193222,0.79287936972901,41.0719059148998,1.46730354999465e-10,2.39350148471576e-08
Gpc1,-2.20936761270583,3.68433096373114,16.3331198224367,5.31272667991134e-05,0.002172103547444
Brip1,-1.61672535859547,0.573718973245786,19.8515871179653,8.36932168697745e-06,0.0004489663640537
Slc41a2,-1.63521769325912,4.06691711462632,10.8424145770038,0.0009920129098481,0.0227522501819681
Ly6d,2.41671886583291,0.990257557261342,7.74217668168257,0.0053945735818883,0.076006813261574
Acot11,1.9322786261575,1.21867731739982,3.96995874126952,0.0463189073253674,0.278785411334083
Ncaph,-1.60876659438772,-1.30204146849958,4.8535525429086,0.027589253604731,0.209939973821398
Pygo1,3.55108862508677,-0.0125466693643695,24.9230203641881,5.96656887379496e-07,4.43635209379006e-05
C8a,-2.5482233735103,8.46760519030218,82.6643523966582,9.72391859840042e-20,4.85770508481341e-17
Wnk4,-2.05711712416781,1.68749959329532,27.3850259531614,1.66717192694686e-07,1.43105195859501e-05
Sgcg,5.70547158484684,-2.20887937936963,8.30200732361156,0.0039601283724288,0.0612842324894947
Ugt2b1,-1.6924030703299,8.61910711867408,62.3650639609311,2.8534045064231202e-15,8.94402439993726e-13
Cd276,-1.60176757398899,0.827277262865066,8.27913700923266,0.0040103184788814,0.0615840069196921
Acss3,2.33882476333437,3.06606276394876,24.427438284303,7.71618609871134e-07,5.46394717063247e-05
Adamtsl2,-1.89437295942193,2.38418826901339,24.5175687416525,7.36353457838116e-07,5.25506534687506e-05
Fam110c,2.46856376082486,0.0066456746877646,19.8384196694619,8.42717113792321e-06,0.0004505577184309
Klhl13,2.05440047202527,2.14866957977893,60.5106255383307,7.31823808142213e-15,2.20734630131347e-12
Abcc12,-2.50704359712217,-1.13321004703526,12.1526369319274,0.0004901851039984,0.0131478172357696
Scd1,1.83222016015077,11.8522711183082,6.51611819339155,0.0106901083838719,0.116486080335761
Ppp1r14a,-1.64133562845718,1.95034100098309,13.5487878916903,0.0002324414879819,0.0072574406774992
Mycn,-4.50008340855323,0.254117306122683,42.8568845184712,5.88944573911193e-11,9.80715412348367e-09
Prf1,1.8798972059857,-0.974708718049936,12.4930041151852,0.0004084788021526,0.0112974777356606
Aldh3b3,8.26430958120088,0.246893548468683,53.5201442165855,2.55954800608178e-13,6.46817376706838e-11
Vnn1,2.96541120037564,5.77058482959851,14.3223822974333,0.0001540226489839,0.0052155359898548
Cep85,1.97850536546193,4.82966614446336,6.81806363021212,0.0090240360106464,0.104762701282639
Smim3,1.67788495490256,-0.108351807397465,11.5975775482545,0.0006603778283791,0.0165726844026196
Hsd3b5,-8.53831115656645,6.39418023125012,74.6146964445978,5.72156897594631e-18,2.3452564525507104e-15
Crygn,-2.04929939890372,0.338603874844916,13.4792139836279,0.0002412208300945,0.0074659861912724
