V1,GHRKOControl.M-GHRKO.M_logFC,GHRKOControl.M-GHRKO.M_logCPM,GHRKOControl.M-GHRKO.M_LR,GHRKOControl.M-GHRKO.M_PValue,GHRKOControl.M-GHRKO.M_FDR
H19,-3.23550432328126,2.15347200908049,5.58049870683328,0.0181615502515925,0.0931143496863238
Cdh1,2.74095799463004,3.71510248551308,23.7293696116884,1.10877532160625e-06,4.24040246200896e-05
Sult5a1,8.56440295399814,4.09101042023343,86.4854580122825,1.4076861387757302e-20,3.87987424387393e-18
Il12rb1,2.64398674633536,0.813555984873979,24.9159235321445,5.98857334027268e-07,2.51921462835421e-05
Vpreb3,-1.85182841997047,-0.674759357712211,9.22671042507382,0.0023850977758467,0.0221289454699281
C1ql4,5.96663439908541,-1.00658156952152,18.5409662825792,1.66291472779468e-05,0.0004219580133099
Fndc5,-1.80119055304383,-0.692818831660731,8.07574981757399,0.0044861540417448,0.0348981306624488
Ube2c,-1.62904220726716,-0.666094630857162,4.65168043630219,0.0310231631519593,0.133884548509563
Gstt3,-2.06370845832279,5.70593511835291,49.2408788288712,2.26383531738668e-12,3.04114885577676e-10
Hsf2bp,3.69683374253491,-0.48631973072955,13.9935414442309,0.0001834396633744,0.0030965854896554
Rec8,2.21243866055103,-0.684247713186742,8.2022646849466,0.0041838134749713,0.0333079891488509
Cd36,-3.09349731505008,6.02565798519947,25.7177662047515,3.95172356333537e-07,1.75967278226962e-05
Dlgap1,5.01683215799754,0.851699490032221,61.2700166556439,4.97600823961587e-15,8.74137007895597e-13
Inmt,-1.5041782660852,8.93918697939566,15.015861225022,0.0001066113539864,0.002007407661752
Cyp17a1,-5.61392611504209,5.38480278834984,53.6497716158947,2.39611544407971e-13,3.5141560999136e-11
Nqo1,-1.65952709988327,2.74834286325092,40.1268056401282,2.38000618749698e-10,2.2249578311887e-08
Gstm3,-2.03760726748572,5.83783601948952,15.4352634019468,8.53801101024644e-05,0.0016706076378188
Ccl24,-1.51993970974979,0.919223230990694,7.49094108374929,0.0062010140910403,0.0440183886586905
Hspb1,3.25068946878292,4.45922322764901,25.4358447350208,4.57341027009545e-07,2.0030283993903e-05
Cyp2a5,-2.69444657880246,10.74799299718,27.1535807722244,1.87916821170652e-07,9.44666133092465e-06
Atp4a,3.10615010997333,-0.876955899687589,10.0890498687859,0.0014915299180428,0.0154716503546249
Tuft1,1.88815492703497,2.17483725330316,19.9159554778494,8.09221447828859e-06,0.0002318317932794
Cdc20,-1.68335462553539,-0.350128475017517,6.20944548389993,0.0127070428192121,0.0728342726812206
Ihh,3.04619229155115,0.827502412772809,21.0892147561923,4.38388601510779e-06,0.0001387738650247
Krt23,-3.56947359837087,3.39521827207173,27.1702024418459,1.86308116838769e-07,9.39533613812166e-06
Hapln4,2.22786996901565,3.46589700579475,30.1605119204209,3.97725562316217e-08,2.31133805882046e-06
Bmp7,-2.56773324625123,0.680161181293919,20.9505263130146,4.71298330785422e-06,0.0001465792824112
Derl3,4.15953137155951,2.13717836655579,18.8961575574532,1.38030411521831e-05,0.0003605480651287
Gnat2,1.79440794165241,-0.518857355201614,11.1350399016961,0.0008471210805382,0.0100460516272144
G0s2,-1.66563092433608,7.2417212627507,8.89845586276954,0.0028541191135467,0.0252382701381
Zmynd10,-1.99990570263491,-1.56960397840183,5.85365523955998,0.0155447311644138,0.0836412226167346
Mogat1,-3.28981817140888,0.106496150395278,14.5759812031678,0.0001346195450806,0.0024018170174768
Nol3,-2.15040967490051,-0.319581529598668,12.0085840431713,0.0005295607510182,0.007025359473675
Ptgds,1.74442695293108,1.8599265419339,8.5466636934818,0.0034615607998871,0.0291602005660985
Clic3,2.37384864588649,0.330859170696566,9.30921492758466,0.0022800416049176,0.0214501274321134
Gadd45b,-1.70153622084098,2.7416627267814,7.90265614049335,0.0049362260375206,0.0373452481948915
Cd83,-2.29639103584309,0.209704097543647,31.0308381599196,2.53961173483499e-08,1.53200879973857e-06
C4a,3.62775052050208,7.8646761268036,31.4577637280973,2.03825991777124e-08,1.26784525468837e-06
Lpl,-2.00511959262913,4.74000233842072,11.7250964725372,0.0006166285216666,0.0078607843280405
Celsr1,2.12314112877445,4.47701079730962,22.8034620288266,1.79442168692673e-06,6.4317545038589e-05
Mpped2,-1.65860542207702,-1.17798956886401,4.1605271038145,0.0413765257828283,0.161834263704333
Cmah,2.37058576513744,6.65265865741986,52.7008360712721,3.88425722715419e-13,5.5940302732690895e-11
Wsb1,1.98813351022785,4.1786179687097,30.9182608331088,2.69127547070292e-08,1.61133819006206e-06
Slc2a4,-3.92906478921006,-0.212075703574932,9.47395820307848,0.0020840920584175,0.0201081423178576
Amd-ps4,1.54595200542939,0.814633624962947,13.1703796436766,0.0002844091111114,0.0043970638783632
Fam184a,3.13455661111427,-0.863214806007261,14.7459117815863,0.0001230139668136,0.0022372028139743
Cabcoco1,-1.60619124611812,0.0160864302385178,20.60878908609,5.63368833474647e-06,0.0001699247956967
Vnn3,-2.44132749219717,5.69308865065238,28.1797017038845,1.10557960422583e-07,5.77575018076933e-06
Socs2,3.94504002248333,3.92136192209752,29.2395737494589,6.39594599653197e-08,3.5379097820263e-06
Abtb3,-3.13037526389891,-1.22008639386428,9.51071120111495,0.0020427597533066,0.019856172622454
Igf1,6.02545606932434,8.52530210871226,549.59336580179,1.54329746771224e-121,2.4671153318847802e-117
Slc16a7,-1.89141550813091,6.40390363285896,55.8004889856315,8.02115888960275e-14,1.2212023429446598e-11
Egfr,5.27620332569975,7.69994764791278,100.249079193458,1.3438779322856302e-23,4.88255286943594e-21
Slc36a2,-5.28707096310466,-1.3917470870544,3.9756136431532,0.046163629933447,0.173640420733196
Btg2,-1.67919159958162,3.37692156017479,12.962756120276,0.0003177490624687,0.0048010742085304
Igfbp1,-5.37292161634349,6.46467939376137,36.738156231412,1.3510895416059302e-09,1.10196517408737e-07
Adcy1,-1.89224307576606,0.379068789863341,4.04663864980377,0.0442593900021162,0.169375172240921
Lpin1,1.64106988027195,6.34785382275838,6.52672475352047,0.0106265452193766,0.0640020812009151
Arsg,1.64133802206844,4.04176690792157,21.1993212824812,4.13911063325972e-06,0.0001326008468603
Ace,-3.16600332030392,0.677684666094693,29.1165988308656,6.81505849813195e-08,3.74383247942053e-06
Plek2,-1.58227118214277,-0.412138147238412,10.0874748248148,0.0014928053469145,0.0154716503546249
Ifi27l2b,-2.16953980499752,1.70847974962646,14.6684662563224,0.0001281727495765,0.0023138326053588
Acot3,-2.39425166807843,5.25521428588413,9.57037564212392,0.0019774231706523,0.019381414350735
Meg3,3.62640447709319,2.74494259474168,22.5526749592334,2.04459639838205e-06,7.23117655410078e-05
Carmil1,4.26222230736545,2.70037312317726,103.501773273167,2.60161173959532e-24,1.0143747626627e-21
Cap2,-3.73069825123661,-0.398181064604873,9.11571792466945,0.0025342247822388,0.0230182485050396
Gadd45g,2.20856740253436,4.07148513906948,4.69928338964425,0.0301751964109815,0.131438880061567
Srd5a1,3.40712830560592,5.23084235374534,149.833037360635,1.88561889968076e-34,1.88396898314354e-31
Cfap20dc,3.8187312640692,-1.84806690558881,11.9771476059926,0.0005385696036518,0.0071036086501468
Slc25a30,1.78900728791277,5.00530688901836,8.84586921899825,0.0029375296596792,0.0257452572037463
Scara5,5.34381083392639,2.07792398142309,24.2997419399046,8.24501077198857e-07,3.31167693972385e-05
Dct,7.51030391051215,3.27394938514983,76.8308310687557,1.8624722332286e-18,4.72594938418926e-16
C9,2.19228132931008,7.86552780536324,71.6261958436477,2.60080812160354e-17,5.85584769464144e-15
Ajuba,2.28963665560828,2.31966915716308,23.5920308335504,1.19079662604898e-06,4.50138855858156e-05
C6,4.57224070769078,6.00900751314412,134.323275844381,4.64259234946504e-31,3.90613059466043e-28
Tgm1,3.12634641906697,3.48427186975152,47.90795538672,4.4670539482964295e-12,5.57893159511459e-10
Fzd6,1.7905004768464,2.05068730040438,25.9567409597648,3.49154109688895e-07,1.58567545383144e-05
Sybu,-3.7902782288797,0.705910068791325,36.3456038401965,1.6525153365177e-09,1.30133547633359e-07
Myc,2.22861115873924,2.40344645185976,11.6191734146491,0.0006527540408049,0.0081971139798179
Fam83f,-2.14676373478181,1.07192509794123,9.86584426881885,0.0016837539389677,0.0170357534609735
Syngr1,-1.58808826827164,-0.0678480931407886,6.96732078331782,0.0083011695673104,0.0540980418683344
Ly6c2,-2.08615094838733,-1.09658429045751,10.8174898148677,0.0010054571722635,0.0113994598268117
Ncam2,1.85013810568729,0.716088201332486,12.88410975809,0.0003313837366895,0.0049602063808237
Sdf2l1,2.23106206649283,4.97215793467443,15.922970461816,6.59731680835741e-05,0.0013417901590127
Robo1,-1.95040622322292,1.77344189016128,8.66636836047763,0.0032413651378095,0.0276945286440535
Cela1,1.53180424879368,4.51129930661463,21.5985497913083,3.36105870557898e-06,0.000111937259307
Nr4a1,-3.2163076394254,2.55698572566599,11.5206542223024,0.0006882716288086,0.0085757679330748
Csad,3.63341873103307,7.457882991502,33.3036725510716,7.88336201238557e-09,5.43204418663775e-07
Slc10a2,2.60886144294223,3.82011163239288,43.0341853315654,5.3791682379875495e-11,5.81022861165331e-09
Clec4n,-1.89082972551122,0.167000721256836,16.2074370495621,5.67708048255031e-05,0.0011847755691129
Cyp39a1,-2.41929975719019,4.30435013247077,14.8584052264139,0.0001158904796892,0.0021319047276328
Tff3,3.43353879545096,0.284098547095563,5.05699368787153,0.0245267483629126,0.11391185337871
Tedc2,1.59734885242069,5.41416095782937,19.1368601183824,1.21672239821957e-05,0.0003241754042989
Dusp1,-1.59851155295652,4.9548802847442,7.1377575952929,0.0075477482852899,0.0506541998692884
Grm8,4.61411347117203,0.541311698619078,43.1373940928441,5.1027607876607096e-11,5.587173558324931e-09
Fkbp5,2.06470005495283,5.47442464327955,18.9095744163375,1.3706304110446e-05,0.0003586071645001
Cyp4f14,2.57225031360683,7.87684316208229,115.574029755033,5.89180741680333e-27,3.03827204403284e-24
Cyp21a1,7.79321456007462,2.64825704779264,13.6380711773629,0.0002216450139569,0.003582400639827
Lama3,3.52715092021632,2.08268162683805,59.0321241292119,1.5511875914739902e-14,2.5564211172477497e-12
Ttc39c,1.90698214257437,7.52193103093625,68.7280022640359,1.13024599517779e-16,2.44163682147462e-14
Slc4a9,-3.1527543607835,1.36142148286057,17.6212307511858,2.69562172835847e-05,0.0006317193503677
Hbegf,-2.21780646883754,2.19296271631923,4.7378508328222,0.0295059092338273,0.129405065846903
Spink1,-7.99277458589726,0.717872451644342,20.7012179721745,5.3681845102492e-06,0.0001634586620587
Setbp1,-2.19142416151125,0.469981119546285,15.6829592642498,7.48959183526463e-05,0.0014886373652055
Ms4a7,-1.82926715095938,-1.4974576290176,6.60327992185609,0.0101791086978588,0.0622744858951283
Keg1,5.25345978540306,6.2098581843545,179.130496224973,7.50361862695924e-41,1.1995284737057e-37
Gna14,1.81016527301147,2.29360580816545,20.9647080172076,4.67822330563873e-06,0.0001457818279998
Trpm6,-4.80506503843341,-0.0456694460371696,20.9163203618726,4.79789398854875e-06,0.0001483542230192
Stambpl1,-1.83462906160437,-0.0307252526364462,17.0146174614492,3.70931530867714e-05,0.0008293808493425
Cabp4,-3.13949010294413,-1.53019861994504,24.6129005001533,7.00810058974798e-07,2.86525565288264e-05
Vldlr,-3.91996247811859,3.59837374748156,37.5440771988332,8.93703858157778e-10,7.55912691878848e-08
Pde6c,-4.45832637756995,0.299955749341368,37.3118402839134,1.00671539878381e-09,8.38195435674892e-08
Tctn3,1.89703508939768,-0.612715933037117,12.3389499527671,0.000443604473817,0.0061988296489854
Dntt,2.66211302267213,1.2917721769298,14.4334744438924,0.0001451983097357,0.00255632178352
Dclre1a,-1.52734804883013,4.20127633620499,26.8306389447492,2.2208818819877e-07,1.08571919772035e-05
Bhlhe22,-2.98463016563789,-1.45000717337686,10.6793833711167,0.0010833616796764,0.0120940082481195
Ankrd2,-6.35645696663646,-0.978120113471695,37.6189672656474,8.600410755048e-10,7.3130939537339e-08
Cnnm1,-3.1623609026814,-0.311029586011077,25.7980501183234,3.79071233259604e-07,1.69269070806928e-05
Scd2,-3.47280997383103,3.92320179449563,45.0844101865169,1.88721820892838e-11,2.17043671136181e-09
Pitx3,5.04936885587278,0.830074813068952,7.83376083097429,0.0051279295187136,0.0384138150356871
Alas2,1.62265984244339,6.21566339735296,21.113482291474,4.32871843268494e-06,0.0001381215426445
Aatk,1.54677548962252,2.86067560255878,11.8142883272981,0.0005877789509133,0.0075411190283308
Nptx1,-2.2628799733983,-0.091784431408457,7.04804556051808,0.0079351786402352,0.0524614415809765
Dach2,7.74437294616277,-0.538439254657311,12.9418253478593,0.0003213215453445,0.0048504685777887
Gm7628,-1.5276985469566,-0.387927932906338,4.64411225634409,0.0311602500147432,0.134230061098271
Zap70,3.14803815509978,3.86916909586862,76.1736110515791,2.59790314753946e-18,6.29243632069178e-16
Serpine2,4.08036236097618,3.11415872365107,45.1136116862563,1.85928569952446e-11,2.1538073327969503e-09
Marco,-1.80567331574624,1.32476703055866,5.09011030890389,0.0240626610421002,0.11250824785581
Nfasc,2.96121879143527,0.220347642925923,21.8583740943101,2.93532779226502e-06,9.98386172066991e-05
Rgs16,-1.70138909853134,6.11508222926783,4.11234207868236,0.0425713695980424,0.164800575145667
Kif26b,1.78055748005487,-0.455634866631434,8.07200258324308,0.0044954407118164,0.0349363710350501
Apcs,1.75557650441284,7.39714250034826,24.8669280306673,6.14272518961452e-07,2.57061792882664e-05
Esrrg,-1.64695270504995,2.0889897469903,16.9234576671839,3.89176684465924e-05,0.0008625355828908
Slc30a10,2.30662387178168,5.36470634717846,41.9995165971432,9.129598449509449e-11,9.29590833209287e-09
Irf6,2.91178048204693,5.15887564881707,105.522401395708,9.383113683816021e-25,4.05401230674278e-22
Mcm10,1.53512789120517,6.03712750789688,25.1789963073168,5.22481345560775e-07,2.25131719410635e-05
Mgst3,-1.53060356104407,4.2989634311269,13.507662657643,0.0002375912854509,0.0037792380987252
Fmo3,-4.62461163374214,6.98498922695574,13.4763840813104,0.0002415849171098,0.0038351305709213
Pfkfb3,2.63928163697654,3.54531525854185,17.9780574211371,2.23466080770202e-05,0.0005396267019928
Lcn2,-1.70346987236306,3.35543109490118,4.25752328346147,0.0390768547349293,0.156224829157307
Lamc3,1.60051460205934,0.678343102367763,11.0813853280314,0.0008719863222857,0.0102647815523272
Neb,1.91082398464788,3.44893379853478,12.2833024700088,0.000457028913554,0.0063475796803436
Psd4,-2.09138788768782,1.83897090349456,33.1831353859189,8.387482912799951e-09,5.7300128993171e-07
Il1rn,-3.57952368519201,2.31966290100482,45.4771019946551,1.5443375202529002e-11,1.8020277079389e-09
Lrp2,4.00684541507673,1.32779658785861,8.00492418290503,0.0046650315800464,0.0357674795389073
Elf5,1.9866993574276,-0.892453910905163,6.79145777405235,0.0091595082205052,0.0578521921821401
Chac1,2.29326389915392,1.39382827821414,9.28656269489058,0.0023084090945651,0.0216181767930397
Fabp5,2.75106715225743,3.56288680099828,13.3453242986175,0.000259067753347,0.0040523063649759
Epb41l1,-1.60552104468743,2.49270417915009,16.1626303338926,5.81296540505225e-05,0.0012115523463515
Ocstamp,1.80209546566757,-0.168793679295297,3.85004364039261,0.049744696390054,0.182430082131817
Smad9,7.19346184151274,3.48168672341959,109.906504999369,1.0272322371967001e-25,4.82980427759602e-23
Hao2,-6.89027063105959,4.9136740790111,40.4510456139086,2.0160452988822e-10,1.90701184307283e-08
Cyp2u1,2.73019044179319,4.64929743508905,33.5831547074858,6.82815120056712e-09,4.78749232860816e-07
Ptgfr,-4.10790934882511,-1.10730759673959,16.5429884835822,4.75595128329065e-05,0.0010205186203313
Efna3,2.27385535693488,-1.04838327350068,9.67250424118574,0.0018704618422373,0.0185606474301717
Cth,-1.55280340864131,8.65658957035004,33.0773424003875,8.8564782376601e-09,5.97382536317444e-07
Atp6v0d2,-3.4887337905093,2.74623078736544,33.6212156369489,6.695841753038161e-09,4.71540644335102e-07
Gbp2,-1.96031232300256,2.10540688457444,22.2004080111649,2.45621594054821e-06,8.5358843533921e-05
Fmn2,2.60685551554041,1.10032062515205,18.2959816843951,1.89105637510608e-05,0.0004701466129462
Orm3,-1.74843222514197,3.6080943088454,5.40187995808894,0.0201150732930646,0.0999252833010969
Unc13b,2.67401302960667,2.08423361764654,19.8477847517932,8.38598581991595e-06,0.000238538023696
Npr2,2.17591293049991,5.97770475250458,65.8226133052526,4.93388800356208e-16,9.737423904314011e-14
Dab1,2.8835326536773,-0.15063377267951,15.2390181832785,9.47259489966686e-05,0.0018178739743826
Slc6a9,3.10433128154571,4.00871978058816,61.5661994087256,4.28104964851304e-15,7.6040955201255e-13
Cdkn2c,-1.78310749018012,1.64186319718764,26.9021565629753,2.14019940944077e-07,1.04948551408957e-05
Ccdc30,3.0437446614872,0.331336386945385,6.64672614442301,0.0099338188247627,0.0612898601824225
Mycl,-1.70086244247404,3.68022325171506,26.3705367522943,2.81806532370119e-07,1.32110241245417e-05
Cyp4a31,-2.08127873453527,6.22895610647876,15.9587548278005,6.47376766761267e-05,0.0013200210450823
Cyp4a14,-2.21119974593397,10.6273762730769,5.56604444820084,0.0183120832158052,0.0935317456495814
Smpdl3b,-2.98234827704265,-0.411237079057849,33.5573921653008,6.919191206452471e-09,4.80913872288475e-07
Errfi1,1.68180798745728,9.54498652408905,23.9195431755192,1.00446868673616e-06,3.91644790882054e-05
Hycc1,-2.10608525218431,3.18172230995206,42.491399274283,7.09937164679493e-11,7.417683342853841e-09
Prom1,-1.6459465969073,1.22238140124811,7.16592678170721,0.0074301293040546,0.0501384749069721
Slc30a3,3.91159612541981,0.542702193477323,11.9151973280927,0.0005567783974089,0.007283682046628
Sult1e1,-9.12168046062412,3.351412741875,46.3617495549362,9.83161744376632e-12,1.1817160635793101e-09
Gpat3,-1.86288657103312,4.34788299676983,37.0348740653038,1.16035225808761e-09,9.61108352217023e-08
Cxcl9,-1.61591286382381,2.40990236235058,8.76816612895908,0.0030653349719904,0.0265452030673017
Tmem116,-3.12219976961751,-0.995753658293998,16.9521114201412,3.83346607526141e-05,0.0008546971921775
Mapkapk5,1.53302680709284,-0.79254877477893,5.65796329267184,0.0173762898349152,0.0904517646697995
C8b,3.98916470824597,7.3442983609693,216.745184643046,4.63837000852239e-49,1.48297965912478e-45
Igf2bp3,-3.34547325692904,-1.79262573308699,11.2262395507063,0.000806488903014,0.0096796102867578
Osbpl3,-1.67905662631022,2.98162534958278,5.56804878696815,0.0182911324464126,0.0935317456495814
Nat8,2.74313320767841,3.7690363707075,38.6000050391868,5.20187891351825e-10,4.59432244814932e-08
Usp18,-1.78262061412043,2.55772305408814,20.3918668515223,6.30973894604875e-06,0.0001871381944184
Tuba8,-4.64179666664748,0.952813583518583,31.8808725386378,1.63923425668862e-08,1.03168499320568e-06
Erp27,1.69697876821838,0.0604478742273256,7.13388384456205,0.0075640711387418,0.0507211582315127
Slco1a4,-1.81328598287351,6.52133832083357,18.1474985140216,2.04437798419564e-05,0.0005012488720145
Ldhb,-1.53961898181378,2.24795391974735,7.43966007329217,0.0063801939916278,0.0448127333700187
Bhlhe41,2.25510582464544,1.70088491527136,7.44644276060602,0.006356194693076,0.0447424607501159
Srgap3,3.44726959842811,3.1026441394747,36.7731623578966,1.32704547804566e-09,1.08790507754041e-07
Clec2h,6.2330368247051,0.727343073187624,12.7447284072667,0.0003570139800463,0.005231187428983
Sult2a8,1.86113803783971,8.56101458122832,62.1600861572305,3.1664109544773804e-15,5.68744331666015e-13
Csrp3,3.02290463813503,4.04201974290294,60.1595624121381,8.74709069669821e-15,1.50355905244535e-12
Cyp2b10,-2.90571376370199,5.15996957138882,22.1350870431844,2.54122355769737e-06,8.71759652217815e-05
Hddc3,-1.95585264349331,1.88133525246353,10.1187901858207,0.0014676530552481,0.015312324919251
Synm,-1.86561713403681,0.892289448882892,8.37776604916751,0.003798390182785,0.0310434895000013
Rab38,2.75155464223598,-0.901527846322845,9.95417125336071,0.0016048535537513,0.0163721690556918
Pik3c2a,1.56225352130575,3.75969043734954,12.8357002249876,0.0003400681730043,0.0050609191761124
